id,comment,sentiment,comment_length,word_count,words_sentiment
2230,leverage violent attack against driver pressure politician,-1,99,11,0
1662,leak company use violence against driver win favor over taxi  post,-1,123,18,0
1489,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
3207,panorama take for ride file on be two at but on money jury or on be player up only,-1,117,25,0
2128,bitch steal food order on eat  like damn if that hungry could order something while there pick,-1,173,32,0
2402,report use stealth teach block scrutiny include kill switch  read more on,-1,154,18,0
2004,reportedly company executive involve in global operation thwart law enforcement say block authority from access company datum at least time include during police raid press more at,-1,259,37,0
720,break law dupe police and secretly lobby government leak document show,-1,111,13,0
2755,uber again nerve company become answerable stupid tactic for expand,-1,126,18,0
2269,file leak detail political lobbying make carpool global,-1,95,11,0
2887,look like try obstruct official investigation into activity,-1,92,14,0
401,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
877,break law dupe police and build secret lobbying operation leak reveal,-1,104,13,0
736,a sienna thank not getting kidnap that easy,-1,67,12,-1
3531,not like,-1,17,4,-1
1130,yes evil,-1,18,4,0
1825,after track money flow of rich into offshore tax now about teach giant combine business aggression and customer convenience reshape cab hailing across world ,-1,240,33,0
2294,climate change redistribution scheme make wealthy even more wealthy and make poor,-1,110,17,-1
1902,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
2600,mayor faithful playbook since beginning small wonder sympathetic but stubbornly faithful in wake of son death in back seat of one guy stop cold on highway retrieve phone find way person,-1,264,49,0
1072,so asshole whose surprised,-1,38,6,0
1581,say cannon interview since tune jury of last year come testify hopefully send government pick tail up and bring aforementioned destination then talk want,-1,237,43,0
88,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1579,never would use and now never,-1,45,10,0
658,break law dupe police and secretly lobby government leak reveal,-1,102,12,0
559,leak file reveal bare knuckle expansion tactic investigation,-1,95,9,0
2506,leak document reveal bare knuckle expansion tactic report,-1,92,9,0
2861,report lobby use stealth teach block scrutiny,-1,84,10,0
2292,report use stealth teach block scrutiny include kill switch deny authority access electronic evidence,-1,152,20,0
804,goat macron dit pollen file massive leak reveal top politician secretly help,-1,123,16,0
1257,boss tell staff use kill switch during raid stop police see datum,-1,108,16,0
